mode,arch,seed,MAE,RMSE,n_rows
rotopt,naive,42,0.5917384092324699,0.94141687328903,175
titrate,naive,42,0.6252697659620428,0.9669180544457365,691
titrate,film,42,0.6256229472678642,0.9700464053079398,691
titrate,gated,42,0.6215242724227871,0.9739321069123505,691
rotopt,naive,7,0.6133021082363876,0.971777678602694,175
titrate,naive,7,0.6502858207021383,0.9786858606601854,691
titrate,film,7,0.6432517139379704,0.9477771151888434,691
titrate,gated,7,0.6310347346787099,0.9294986136680408,691
rotopt,naive,123,0.6192450836203458,0.9883034919527042,175
titrate,naive,123,0.6332685549307677,0.9875146164945141,691
titrate,film,123,0.6428361895754834,0.966691832104267,691
titrate,gated,123,0.632040692553162,0.9549780689658736,691
